target,fold_id,model_name,n_obs,n_pos,AUROC,AUPRC,top_decile_capture,top_quintile_capture,brier
label_a_abs,14,naive_momentum_vol_baseline,1782,82,0.6642037302725968,0.11108098548498259,0.24390243902439024,0.3170731707317073,0.04318007433117902
label_a_abs,14,macro_only_logit,1782,82,0.564648493543759,0.05732082443014094,0.12195121951219512,0.2682926829268293,0.07295897545310222
label_a_abs,14,price_relative_logit,1782,82,0.6610975609756098,0.110558397775825,0.25609756097560976,0.32926829268292684,0.04321518767127146
label_a_abs,14,price_macro_logit,1782,82,0.7059469153515064,0.13654928610101089,0.2926829268292683,0.4146341463414634,0.08874101899335585
label_a_rel,1,naive_drawdown_baseline,1091,106,0.5927650082436233,0.1642457999776058,0.19047619047619047,0.34285714285714286,0.14193278466181047
label_a_rel,2,naive_drawdown_baseline,1100,58,0.6317414573898724,0.12388505614771647,0.21428571428571427,0.32142857142857145,0.08525383963077422
label_a_rel,3,naive_drawdown_baseline,1116,24,0.5369648318042813,0.037106593872511605,0.3333333333333333,0.375,0.08230070503299171
label_a_rel,3,naive_momentum_vol_baseline,1116,24,0.8321123321123322,0.20219996029502063,0.5833333333333334,0.5833333333333334,0.02146559806500998
label_a_rel,3,macro_only_logit,1116,24,0.5745192307692307,0.032001354056054324,0.16666666666666666,0.3333333333333333,0.022371713497692878
label_a_rel,3,price_relative_logit,1116,24,0.8320360195360196,0.20174596378446744,0.5833333333333334,0.5833333333333334,0.02146410641297818
label_a_rel,3,price_macro_logit,1116,24,0.796092796092796,0.24598412265483488,0.5416666666666666,0.6666666666666666,0.018708912564442792
label_a_rel,4,naive_drawdown_baseline,1116,79,0.5723484247403049,0.1317054828740156,0.20253164556962025,0.3670886075949367,0.09359916938691464
label_a_rel,4,naive_momentum_vol_baseline,1116,79,0.7387546842766989,0.19779880440277364,0.379746835443038,0.5189873417721519,0.06385632896225908
label_a_rel,4,macro_only_logit,1116,79,0.39839849614882267,0.060196597136408556,0.0759493670886076,0.11392405063291139,0.06658027779198517
label_a_rel,4,price_relative_logit,1116,79,0.7362645410934658,0.19815296516881228,0.379746835443038,0.5189873417721519,0.06389541874077896
label_a_rel,4,price_macro_logit,1116,79,0.6564945131403879,0.15183598572088608,0.2911392405063291,0.46835443037974683,0.06791511401695864
label_a_rel,5,naive_drawdown_baseline,1130,148,0.682851500126061,0.3203379031945105,0.273972602739726,0.4383561643835616,0.12543274485426123
label_a_rel,5,naive_momentum_vol_baseline,1130,148,0.6739555237518577,0.2730779025897737,0.20270270270270271,0.36486486486486486,0.11476311319936867
label_a_rel,5,macro_only_logit,1130,148,0.5084872295921176,0.14070536968762998,0.10810810810810811,0.22297297297297297,0.12150082182744974
label_a_rel,5,price_relative_logit,1130,148,0.6729096713821765,0.2707457477287998,0.20945945945945946,0.3581081081081081,0.11480298400104838
label_a_rel,5,price_macro_logit,1130,148,0.6846342268949194,0.2988039479885734,0.22972972972972974,0.3783783783783784,0.1164952064166904
label_a_rel,6,naive_drawdown_baseline,1152,59,0.6370056497175142,0.11817400078975408,0.3559322033898305,0.4576271186440678,0.10437767112881878
label_a_rel,6,naive_momentum_vol_baseline,1152,59,0.6220478546063548,0.07076914575993724,0.0847457627118644,0.3220338983050847,0.06035556786210261
label_a_rel,6,macro_only_logit,1152,59,0.5081876967450804,0.051448113537078885,0.06779661016949153,0.2033898305084746,0.05010833732616209
label_a_rel,6,price_relative_logit,1152,59,0.6160311380588336,0.06998318910123319,0.1016949152542373,0.3559322033898305,0.060472602980503165
label_a_rel,6,price_macro_logit,1152,59,0.6122164157116938,0.07133674051338995,0.15254237288135594,0.3050847457627119,0.054080999863817966
label_a_rel,7,naive_drawdown_baseline,1162,98,0.6989593123433584,0.17175322743856541,0.20833333333333334,0.4270833333333333,0.10768279067533013
label_a_rel,7,naive_momentum_vol_baseline,1162,98,0.6959298757096823,0.277133790413403,0.32653061224489793,0.42857142857142855,0.0721417461671155
label_a_rel,7,macro_only_logit,1162,98,0.4329350161117078,0.07187992697963687,0.061224489795918366,0.12244897959183673,0.07990676822827324
label_a_rel,7,price_relative_logit,1162,98,0.6928897498849164,0.276919737035742,0.32653061224489793,0.41836734693877553,0.07212212215975007
label_a_rel,7,price_macro_logit,1162,98,0.7124635568513119,0.28491032682416695,0.29591836734693877,0.4387755102040816,0.07120438794342707
