target,fold_id,model_name,metric,point_estimate,ci_method,ci_lower_95,ci_upper_95,n_bootstrap,n_obs,n_pos
label_a_abs,6,macro_only_logit,AUPRC,0.004491059460180299,firm_year_block_bootstrap,0.0012841192995353445,0.00952490515769545,150,1152,6
label_a_abs,6,macro_only_logit,top_decile_capture,0.0,firm_year_block_bootstrap,0.0,0.0,150,1152,6
label_a_abs,6,macro_only_logit,top_quintile_capture,0.16666666666666666,firm_year_block_bootstrap,0.0,0.5,150,1152,6
label_a_abs,6,macro_only_logit,brier,0.005211617729538436,firm_year_block_bootstrap,8.474120732984656e-06,0.013017790560704552,150,1152,6
label_a_abs,6,price_relative_logit,AUROC,0.7520360674810936,firm_year_block_bootstrap,0.07023699618479205,0.9765298983870359,150,1152,6
label_a_abs,6,price_relative_logit,AUPRC,0.022430614433706413,firm_year_block_bootstrap,0.0011881701698908615,0.08988137466398337,150,1152,6
label_a_abs,6,price_relative_logit,top_decile_capture,0.5,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,price_relative_logit,top_quintile_capture,0.8333333333333334,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,price_relative_logit,brier,0.014982608594325604,firm_year_block_bootstrap,0.004992381405475405,0.027330706098803226,150,1152,6
label_a_abs,6,price_macro_logit,AUROC,0.5805700988947062,firm_year_block_bootstrap,0.07684357647414347,0.9852096719264388,150,1152,6
label_a_abs,6,price_macro_logit,AUPRC,0.013548345213913657,firm_year_block_bootstrap,0.0012050877286915217,0.10901755782263711,150,1152,6
label_a_abs,6,price_macro_logit,top_decile_capture,0.16666666666666666,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,price_macro_logit,top_quintile_capture,0.16666666666666666,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,price_macro_logit,brier,0.006634215447581221,firm_year_block_bootstrap,0.0012623018436597258,0.014280649743178166,150,1152,6
label_a_abs,7,naive_drawdown_baseline,AUROC,0.7883854728514923,firm_year_block_bootstrap,0.5431851563730122,0.9229304050907713,150,1162,28
label_a_abs,7,naive_drawdown_baseline,AUPRC,0.12468285378120306,firm_year_block_bootstrap,0.013056019338448624,0.3626008349239533,150,1162,28
label_a_abs,7,naive_drawdown_baseline,top_decile_capture,0.4444444444444444,firm_year_block_bootstrap,0.1601190476190476,0.7576388888888891,150,1162,28
label_a_abs,7,naive_drawdown_baseline,top_quintile_capture,0.7037037037037037,firm_year_block_bootstrap,0.3475490196078431,0.9637500000000002,150,1162,28
label_a_abs,7,naive_drawdown_baseline,brier,0.07975820374835732,firm_year_block_bootstrap,0.058205098947570894,0.10473163808956265,150,1162,28
label_a_abs,7,naive_momentum_vol_baseline,AUROC,0.593190980095742,firm_year_block_bootstrap,0.3680953144045259,0.9213767059305131,150,1162,28
label_a_abs,7,naive_momentum_vol_baseline,AUPRC,0.2244650023817659,firm_year_block_bootstrap,0.010349357590034252,0.5825121062461635,150,1162,28
label_a_abs,7,naive_momentum_vol_baseline,top_decile_capture,0.32142857142857145,firm_year_block_bootstrap,0.0,0.7973684210526317,150,1162,28
label_a_abs,7,naive_momentum_vol_baseline,top_quintile_capture,0.39285714285714285,firm_year_block_bootstrap,0.07407407407407407,0.8919444444444444,150,1162,28
label_a_abs,7,naive_momentum_vol_baseline,brier,0.021179115016709247,firm_year_block_bootstrap,0.0050751520682757,0.04032201398871886,150,1162,28
label_a_abs,7,macro_only_logit,AUROC,0.37871630133534895,firm_year_block_bootstrap,0.07843591390598062,0.4794797876152318,150,1162,28
label_a_abs,7,macro_only_logit,AUPRC,0.020571928608235264,firm_year_block_bootstrap,0.00450055593284149,0.04232829921173892,150,1162,28
label_a_abs,7,macro_only_logit,top_decile_capture,0.03571428571428571,firm_year_block_bootstrap,0.0,0.11966911764705887,150,1162,28
label_a_abs,7,macro_only_logit,top_quintile_capture,0.10714285714285714,firm_year_block_bootstrap,0.0,0.2445075757575758,150,1162,28
label_a_abs,7,macro_only_logit,brier,0.023850966136657496,firm_year_block_bootstrap,0.005141667071803021,0.046135439163859274,150,1162,28
label_a_abs,7,price_relative_logit,AUROC,0.5821680524061477,firm_year_block_bootstrap,0.353942662034757,0.917464242403723,150,1162,28
label_a_abs,7,price_relative_logit,AUPRC,0.22641068051755098,firm_year_block_bootstrap,0.010411763801532851,0.5815856285393634,150,1162,28
label_a_abs,7,price_relative_logit,top_decile_capture,0.35714285714285715,firm_year_block_bootstrap,0.0,0.7973684210526317,150,1162,28
label_a_abs,7,price_relative_logit,top_quintile_capture,0.39285714285714285,firm_year_block_bootstrap,0.08833912037037037,0.8919444444444444,150,1162,28
label_a_abs,7,price_relative_logit,brier,0.021173944009980766,firm_year_block_bootstrap,0.00504882313298402,0.040327337858923416,150,1162,28
label_a_abs,7,price_macro_logit,AUROC,0.6361174099269338,firm_year_block_bootstrap,0.4528040490887713,0.9075418557015168,150,1162,28
label_a_abs,7,price_macro_logit,AUPRC,0.2174488519354052,firm_year_block_bootstrap,0.008896513465445765,0.5958392225977089,150,1162,28
label_a_abs,7,price_macro_logit,top_decile_capture,0.35714285714285715,firm_year_block_bootstrap,0.029895833333333333,0.8416666666666669,150,1162,28
label_a_abs,7,price_macro_logit,top_quintile_capture,0.35714285714285715,firm_year_block_bootstrap,0.072669220945083,0.8416666666666669,150,1162,28
label_a_abs,7,price_macro_logit,brier,0.021623970229229947,firm_year_block_bootstrap,0.005065431874653479,0.040780468908455304,150,1162,28
label_a_abs,8,naive_drawdown_baseline,AUROC,0.701214571127856,firm_year_block_bootstrap,0.5443323374891991,0.81351518867084,150,1164,101
label_a_abs,8,naive_drawdown_baseline,AUPRC,0.27080157239133024,firm_year_block_bootstrap,0.07765556114131048,0.4535141572307442,150,1164,101
label_a_abs,8,naive_drawdown_baseline,top_decile_capture,0.37623762376237624,firm_year_block_bootstrap,0.1423109243697479,0.5304573512906846,150,1164,101
label_a_abs,8,naive_drawdown_baseline,top_quintile_capture,0.46534653465346537,firm_year_block_bootstrap,0.20852941176470588,0.6471283783783784,150,1164,101
label_a_abs,8,naive_drawdown_baseline,brier,0.10274837695380287,firm_year_block_bootstrap,0.07849543553774282,0.12870783669182131,150,1164,101
label_a_abs,8,naive_momentum_vol_baseline,AUROC,0.7810232575468271,firm_year_block_bootstrap,0.6862135288761969,0.8660819267566082,150,1164,101
label_a_abs,8,naive_momentum_vol_baseline,AUPRC,0.38220789795898313,firm_year_block_bootstrap,0.15430706438034228,0.5963342470114144,150,1164,101
label_a_abs,8,naive_momentum_vol_baseline,top_decile_capture,0.3564356435643564,firm_year_block_bootstrap,0.20924922600619195,0.5307752613240418,150,1164,101
label_a_abs,8,naive_momentum_vol_baseline,top_quintile_capture,0.5643564356435643,firm_year_block_bootstrap,0.3575828484695168,0.7317235699311171,150,1164,101
label_a_abs,8,naive_momentum_vol_baseline,brier,0.07001445610822829,firm_year_block_bootstrap,0.03939479987905182,0.10812334833965306,150,1164,101
label_a_abs,8,macro_only_logit,AUROC,0.531169956130138,firm_year_block_bootstrap,0.46694757560146594,0.587294953355786,150,1164,101
label_a_abs,8,macro_only_logit,AUPRC,0.10596659423926558,firm_year_block_bootstrap,0.053515792339207335,0.15048154676325848,150,1164,101
label_a_abs,8,macro_only_logit,top_decile_capture,0.1188118811881188,firm_year_block_bootstrap,0.0692092574734812,0.15,150,1164,101
label_a_abs,8,macro_only_logit,top_quintile_capture,0.19801980198019803,firm_year_block_bootstrap,0.13073011536126292,0.261,150,1164,101
label_a_abs,8,macro_only_logit,brier,0.0799919041359728,firm_year_block_bootstrap,0.04945929590753194,0.1172184036595741,150,1164,101
label_a_abs,8,price_relative_logit,AUROC,0.7747827463837635,firm_year_block_bootstrap,0.6799536449116582,0.8631129168056578,150,1164,101
label_a_abs,8,price_relative_logit,AUPRC,0.3792301371232277,firm_year_block_bootstrap,0.1500223521423741,0.5948416772152663,150,1164,101
label_a_abs,8,price_relative_logit,top_decile_capture,0.36633663366336633,firm_year_block_bootstrap,0.2140872175141243,0.5524113082039912,150,1164,101
label_a_abs,8,price_relative_logit,top_quintile_capture,0.5544554455445545,firm_year_block_bootstrap,0.35345901072293323,0.7227149706155274,150,1164,101
label_a_abs,8,price_relative_logit,brier,0.0700203316044942,firm_year_block_bootstrap,0.039383968996447645,0.10811827149289299,150,1164,101
label_a_abs,8,price_macro_logit,AUROC,0.8013188901204326,firm_year_block_bootstrap,0.7150358174868751,0.8747160727136795,150,1164,101
label_a_abs,8,price_macro_logit,AUPRC,0.4005618417369369,firm_year_block_bootstrap,0.15592724412447884,0.6091402417212232,150,1164,101
label_a_abs,8,price_macro_logit,top_decile_capture,0.3564356435643564,firm_year_block_bootstrap,0.21863978494623657,0.5550087108013939,150,1164,101
label_a_abs,8,price_macro_logit,top_quintile_capture,0.5841584158415841,firm_year_block_bootstrap,0.42258986928104575,0.7467313585291114,150,1164,101
label_a_abs,8,price_macro_logit,brier,0.06544084774015617,firm_year_block_bootstrap,0.03904651996586687,0.09806377511235019,150,1164,101
label_a_abs,9,naive_drawdown_baseline,AUROC,0.7784925590392829,firm_year_block_bootstrap,0.693331815375301,0.87098544822041,150,1182,219
label_a_abs,9,naive_drawdown_baseline,AUPRC,0.4698122628930872,firm_year_block_bootstrap,0.2939136952829981,0.6150255591526941,150,1182,219
label_a_abs,9,naive_drawdown_baseline,top_decile_capture,0.3165137614678899,firm_year_block_bootstrap,0.2270321509697711,0.4453733363410784,150,1182,219
label_a_abs,9,naive_drawdown_baseline,top_quintile_capture,0.47706422018348627,firm_year_block_bootstrap,0.341103216559037,0.6224196094406397,150,1182,219
label_a_abs,9,naive_drawdown_baseline,brier,0.13357570204059616,firm_year_block_bootstrap,0.09588488880945444,0.16928703778059434,150,1182,219
label_a_abs,9,naive_momentum_vol_baseline,AUROC,0.6966481268107181,firm_year_block_bootstrap,0.5890601292201111,0.8055970412601227,150,1182,219
label_a_abs,9,naive_momentum_vol_baseline,AUPRC,0.32671505387330957,firm_year_block_bootstrap,0.20551130013012014,0.473868011773067,150,1182,219
label_a_abs,9,naive_momentum_vol_baseline,top_decile_capture,0.1780821917808219,firm_year_block_bootstrap,0.08240001765692592,0.3105382058245154,150,1182,219
label_a_abs,9,naive_momentum_vol_baseline,top_quintile_capture,0.3926940639269406,firm_year_block_bootstrap,0.2588320008511673,0.5518603465851173,150,1182,219
